fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
2021-01-05;Burgos;24733;89;2923;576;9059;42.383333,-3.666667
2021-01-05;Segovia;8906;71;1214;262;40004;41.166667,-4.0
2021-01-05;Soria;5956;23;760;181;42173;41.666667,-2.666667
2021-01-05;Ávila;7694;116;1203;250;5019;40.616092,-4.929031
2021-01-05;Valladolid;32094;184;4760;824;47186;41.583333,-4.666667
2021-01-05;Palencia;10190;93;1245;279;34120;42.432128,-4.520647
2021-01-04;León;22790;36;3570;863;24089;42.666667,-6.0
2021-01-04;Palencia;10097;69;1233;275;34120;42.432128,-4.520647
2021-01-04;Ávila;7578;50;1198;250;5019;40.616092,-4.929031
2021-01-04;Burgos;24644;23;2903;576;9059;42.383333,-3.666667
2021-01-04;Segovia;8835;61;1213;262;40004;41.166667,-4.0
2021-01-04;Valladolid;31910;85;4752;822;47186;41.583333,-4.666667
2021-01-04;Salamanca;19033;37;2749;635;37274;40.833333,-6.0
2021-01-04;Soria;5933;8;760;181;42173;41.666667,-2.666667
2021-01-04;Zamora;8868;13;1409;338;49275;41.75,-6.0
2021-01-03;Segovia;8774;51;1211;262;40004;41.166667,-4.0
2021-01-03;Soria;5925;12;760;181;42173;41.666667,-2.666667
2021-01-03;Zamora;8855;8;1408;337;49275;41.75,-6.0
2021-01-03;Burgos;24621;40;2902;575;9059;42.383333,-3.666667
2021-01-03;León;22754;80;3569;863;24089;42.666667,-6.0
2021-01-03;Valladolid;31825;96;4750;820;47186;41.583333,-4.666667
2021-01-03;Palencia;10028;45;1231;273;34120;42.432128,-4.520647
2021-01-03;Salamanca;18996;47;2749;635;37274;40.833333,-6.0
2021-01-03;Ávila;7528;80;1198;250;5019;40.616092,-4.929031
2021-01-02;León;22674;37;3564;862;24089;42.666667,-6.0
2021-01-02;Ávila;7448;8;1198;250;5019;40.616092,-4.929031
2021-01-02;Zamora;8847;11;1408;337;49275;41.75,-6.0
2021-01-02;Burgos;24581;23;2897;572;9059;42.383333,-3.666667
2021-01-02;Palencia;9983;40;1230;272;34120;42.432128,-4.520647
2021-01-02;Salamanca;18949;15;2747;634;37274;40.833333,-6.0
